ATRIBUTO;DESCRIÇÃO;REFERÊNCIA;TIPO DE DADO;ACEITA NULOS;UNIDADE;FONTE;Coluna1
TAXES;Impostos;2016;FLOAT (53);VERDADEIRO;$ 1,000 reais;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GDP;Produto Interno Bruto;2016;REAL;VERDADEIRO;$ 1,000 reais;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
POP_GDP;Population;2016;INTEGER;VERDADEIRO;-;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GDP_CAPITA;Produto Interno Bruto per capita;2016;REAL;VERDADEIRO;-;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;
GVA_MAIN;Atividade com o GVA principal;2016;NVARCHAR (MAX);VERDADEIRO;-;https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads;"Para as variáveis com as maiores atividades econômicas foram consideradas:
Agricultura, inclusive apoio à agricultura e a pós colheita; 
Pecuária, inclusive apoio à pecuária;
Produção florestal, pesca e aquicultura; 
Indústrias extrativas; 
Indústrias de transformação; 
Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;
Construção;
Comércio e reparação de veículos automotores e motocicletas; 
Administração, defesa, educação e saúde públicas e seguridade social; e
Demais serviços. 

A classe Demais serviços compreende a agregação dos setores: 
Transporte, armazenagem e correio; 
Alojamento e alimentação; 
Informação e comunicação; 
Atividades financeiras, de seguros e serviços relacionados; 
Atividades imobiliárias; 
Atividades profissionais, científicas e técnicas, administrativas e serviços complementares;
Educação e saúde privadas; 
Artes, cultura, esporte e recreação e outras atividades de serviços e serviços domésticos."
MUN_EXPENDIT;Despesas municipais - in reais;2016;BIGINT;VERDADEIRO;$ 1 real;http://www.tesourotransparente.gov.br/ckan/dataset/dcam;
COMP_TOT;Número total de companias;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_A;Número de Empresas: Agricultura, Pecuária, Silvicultura, Pesca e Aquicultura;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_B;Número de Empresas: Indústrias Extrativas;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_C;Número de Empresas: Indústrias de Transformação;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_D;Número de Empresas: Eletricidade e Gás;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_E;Número de Empresas: Atividades de Água, Saneamento, Gestão de Resíduos e Descontaminação.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_F;Número de Empresas: Construção.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_G;"Número de Empresas: Comércio; Reparação de Veículos Automotores e Motocicletas.";2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_H;Número de Empresas: Transporte, Armazenamento e Correio.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_I;Número de Empresas: Alojamento e Alimentação.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_J;Número de Empresas: Informação e Comunicação.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_K;Número de Empresas: Atividades Financeiras, de Seguros e Serviços Relacionados.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_L;Número de Empresas: Atividades Imobiliárias.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_M;Número de Empresas: Atividades Profissionais, Científicas e Técnicas.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_N;Número de Empresas: Atividades Administrativas e Serviços Complementares.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_O;Número de Empresas: Administração Pública, Defesa e Segurança Social.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_P;Número de Empresas: Educação.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_Q;Número de Empresas: Saúde Humana e Serviços Sociais.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_R;Número de Empresas: Artes, Cultura, Esporte e Recreação.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_S;Número de Empresas: Outras Atividades de Serviços.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_T;Número de Empresas: Serviços Domésticos.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
COMP_U;Número de Empresas: Instituições Internacionais e Outras Instituições Extraterritoriais.;2016;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/993;
Cars;Numero total de carros;2019-01;INTEGER;VERDADEIRO;-;https://www.denatran.gov.br/estatistica/639-frota-2019;
Motorcycles;Número Total de Motocicletas;2019-01;INTEGER;VERDADEIRO;-;https://www.denatran.gov.br/estatistica/639-frota-2019;
