,CITY,STATE,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
4307,Sanclerlândia,GO,7791,16517.0,Demais serviços,0,255,5,8,69,0,0,8,109,5,9,5,0,1,8,6,4,2,4,2,10,0,0,0,0,1,1,1,1,68113802,220591004,2334,1918,5,0,0,0,1
4308,Sandolândia,TO,3410,19828.0,"Pecuária, inclusive apoio à pecuária",0,31,2,0,0,0,0,0,19,0,0,0,0,0,1,2,4,2,1,0,0,0,0,1,30,0,0,0,0,0,0,284,591,0,0,0,0,1
4309,Sandovalina,SP,4126,143674.0,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",24963405,87,18,2,1,0,0,0,37,1,6,0,0,0,1,4,3,3,1,0,10,0,0,0,0,0,0,0,0,0,0,1195,309,0,0,0,0,1
4310,Sangão,SC,12001,20777.0,Indústrias de transformação,26623667,400,0,1,173,0,2,9,117,42,10,1,0,3,9,6,6,6,4,2,9,0,0,0,0,0,0,0,0,0,0,4164,2936,3,0,0,0,2
4311,Sanharó,PE,25521,6979.0,"Administração, defesa, educação e saúde públicas e seguridade social",41903714,134,0,0,12,0,1,5,74,4,7,0,0,0,4,5,3,13,2,0,4,0,0,0,0,0,1,0,1,0,108182498,1674,2356,0,0,0,0,3
4312,Sant'Ana Do Livramento,RS,82631,27878.0,Demais serviços,178087976,2290,24,2,121,0,1,48,1328,117,124,32,22,26,77,112,5,64,53,34,99,0,1,0,0,3,4,3,3,254703689,1587882599,39848,15143,20,0,0,0,2
4313,Santa Adélia,SP,15255,19627.0,Demais serviços,39121153,496,52,0,13,0,2,13,255,56,26,9,1,1,9,14,2,10,14,2,17,0,0,0,0,2,3,2,2,168116784,189258293,5981,1712,1,0,0,0,4
4314,Santa Albertina,SP,5985,31782.0,Demais serviços,19020509,146,18,1,6,0,0,2,63,5,8,2,0,5,6,3,3,3,9,1,11,0,0,0,0,1,0,1,0,71486862,0,2177,872,0,0,0,0,1
4315,Santa Amélia,PR,3643,19198.0,"Administração, defesa, educação e saúde públicas e seguridade social",11460691,67,0,0,4,0,0,0,32,2,2,1,1,1,3,2,2,4,3,2,8,0,0,0,0,0,0,0,0,0,0,1036,483,2,0,0,0,1
4316,Santa Branca,SP,14601,17224.0,Demais serviços,40664797,345,25,0,43,0,0,11,139,7,19,7,3,1,19,23,2,13,8,4,21,0,0,0,0,2,1,2,1,71112880,77876955,4602,1069,3,0,0,0,1
4317,Santa Brígida,BA,15091,6468.0,"Administração, defesa, educação e saúde públicas e seguridade social",29620692,140,1,0,4,0,0,0,68,1,0,0,0,0,1,3,3,19,4,0,36,0,0,0,0,1,0,1,0,13660704,0,705,1117,0,0,0,0,1
4318,Santa Bárbara,MG,30436,22767.0,Demais serviços,82788610,613,12,7,36,0,2,21,240,53,33,10,7,12,28,29,2,28,30,15,48,0,0,2,55,2,2,2,2,61412375,354906242,8569,2622,2,0,0,0,5
4319,Santa Bárbara,BA,21310,7325.0,"Administração, defesa, educação e saúde públicas e seguridade social",32442192,260,2,2,8,0,0,4,108,13,15,1,1,0,6,7,2,14,4,3,70,0,0,0,0,0,1,0,1,0,56232156,1238,2268,0,0,0,0,1
4320,Santa Bárbara D'Oeste,SP,191024,26590.0,Demais serviços,0,5114,26,3,943,0,19,199,2206,205,373,90,37,78,187,265,2,147,89,62,183,0,0,0,0,9,5,4,2,1551544772,1928045250,86446,34839,22,0,0,0,2
4321,Santa Bárbara De Goiás,GO,6327,14795.0,Demais serviços,15395948,197,3,2,27,0,0,16,77,12,4,12,1,0,8,17,2,4,5,1,6,0,0,0,0,1,0,1,0,13809576,0,1364,782,0,0,0,0,1
4322,Santa Bárbara Do Leste,MG,8144,9670.0,"Administração, defesa, educação e saúde públicas e seguridade social",15383670,87,0,1,5,0,0,1,50,1,3,1,0,0,0,3,3,6,1,1,11,0,0,0,0,0,0,0,0,0,0,1813,1600,0,0,0,0,1
