,CITY,STATE,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
0,Abadia De Goiás,GO,8053,20665.0,Demais serviços,28227690,284,5,1,56,0,2,29,110,26,4,5,0,2,10,12,4,6,6,1,5,0,0,0,0,0,0,0,0,0,0,2158,1246,0,0,0,0,1
1,Abadia Dos Dourados,MG,7037,25592.0,Demais serviços,17909274,476,6,6,30,1,2,34,190,70,28,11,0,4,15,29,2,9,14,6,19,0,0,0,0,0,0,0,0,0,0,2227,1142,0,0,0,0,1
2,Abadiânia,GO,18427,15628.0,Demais serviços,37513019,288,5,9,26,0,2,7,117,12,57,2,1,0,7,15,3,11,5,1,8,0,0,1,34,1,1,1,1,33724584,67091904,2838,1426,0,0,0,0,3
3,Abaetetuba,PA,151934,8222.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,931,4,2,43,0,1,27,500,16,31,6,1,1,22,16,2,155,33,15,56,0,0,0,0,2,4,2,4,76181384,800078483,5277,25661,0,0,0,0,2
4,Abaeté,MG,23574,18250.0,Demais serviços,0,621,18,1,40,0,1,20,303,62,30,9,6,4,28,27,2,15,19,9,27,0,0,0,0,2,2,2,2,44974716,371922572,6928,2953,0,0,0,0,4
5,Abaiara,CE,11483,6370.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,86,1,0,4,0,0,6,48,2,10,2,0,0,2,3,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,553,1674,0,0,0,0,1
6,Abaré,BA,19939,6257.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,87,2,0,3,0,0,0,71,0,1,1,0,0,0,1,2,0,2,0,4,0,0,0,0,1,0,1,0,21823314,0,613,1532,0,0,0,0,1
7,Abatiá,PR,7795,21174.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",0,285,5,0,20,0,1,10,133,18,14,8,0,4,11,26,2,8,9,4,12,0,0,0,0,0,1,0,1,0,45976288,2168,912,0,0,0,0,1
8,Abaíra,BA,9212,6983.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,191,6,0,8,0,1,4,97,5,5,3,1,0,5,5,2,8,1,2,38,0,0,1,24,0,0,0,0,0,0,896,696,0,0,0,0,1
9,Abdon Batista,SC,2617,24739.0,"Administração, defesa, educação e saúde públicas e seguridade social",19506956,69,2,0,4,0,0,2,35,8,3,1,1,0,4,0,2,1,3,0,3,0,0,0,0,0,1,0,1,0,42909056,976,345,2,0,0,0,1
10,Abel Figueiredo,PA,7179,11096.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,72,0,0,9,0,1,0,41,1,0,1,0,0,2,1,6,6,0,0,4,0,0,0,0,0,1,0,1,0,11709575,279,807,0,0,0,0,1
11,Abelardo Luz,SC,17782,33983.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",0,464,8,2,40,1,1,25,177,67,25,9,4,7,26,16,2,14,13,4,23,0,0,0,0,1,2,1,2,29730462,382942698,5823,2001,1,0,0,0,1
12,Abre Campo,MG,13726,13690.0,Demais serviços,0,369,3,2,33,0,1,12,148,31,17,5,3,4,17,12,4,11,22,6,38,0,0,0,0,0,1,0,1,0,81340685,2838,1851,0,0,0,0,2
13,Abreu E Lima,PE,98990,14390.0,Demais serviços,119645700,841,1,0,130,0,2,26,434,27,36,14,3,4,18,30,2,47,20,6,41,0,0,0,0,2,3,2,3,155632735,460626103,14579,10122,0,0,0,0,1
14,Abreulândia,TO,2555,18543.0,"Administração, defesa, educação e saúde públicas e seguridade social",9712530,27,4,0,0,0,0,3,11,0,1,1,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,190,318,0,0,0,0,1
15,Acaiaca,MG,4061,8969.0,"Administração, defesa, educação e saúde públicas e seguridade social",12182050,60,1,3,8,0,0,2,24,1,4,1,0,0,1,3,2,5,1,0,4,0,0,0,0,0,0,0,0,0,0,899,598,0,0,0,0,1
16,Acajutiba,BA,15764,7305.0,"Administração, defesa, educação e saúde públicas e seguridade social",27275310,96,2,0,4,0,0,1,57,2,3,1,2,0,1,2,3,3,4,2,9,0,0,0,0,0,1,0,1,0,50185684,834,1444,0,0,0,0,1
17,Acarape,CE,16418,7820.0,"Administração, defesa, educação e saúde públicas e seguridade social",33078580,132,2,9,39,0,0,2,54,4,2,0,0,0,1,3,3,5,0,0,8,0,0,0,0,0,0,0,0,0,0,1089,1246,0,0,0,0,2
18,Acaraú,CE,61715,9410.0,"Administração, defesa, educação e saúde públicas e seguridade social",101483436,638,41,1,38,8,0,6,363,7,28,3,0,6,9,14,2,71,17,6,18,0,0,0,0,1,3,1,3,57802114,529074069,3371,10448,0,0,0,0,1
19,Acari,RN,11338,9577.0,"Administração, defesa, educação e saúde públicas e seguridade social",22943205,167,4,0,33,1,0,5,83,0,5,1,1,1,2,4,2,12,2,1,10,0,0,1,34,0,0,0,0,0,0,1259,1802,0,0,0,0,1
20,Acará,PA,54080,14579.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",106368816,162,8,3,6,0,0,4,99,3,2,1,0,0,1,3,3,12,0,1,16,0,0,0,0,1,1,1,1,22821995,37523391,652,3342,0,0,0,0,1
21,Acauã,PI,6951,6129.0,"Administração, defesa, educação e saúde públicas e seguridade social",14935714,77,0,0,2,0,1,0,20,4,3,1,0,0,0,2,7,1,0,0,36,0,0,0,0,0,0,0,0,0,0,272,1014,0,0,0,0,1
22,Aceguá,RS,4731,52913.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",22028720,168,8,0,8,0,1,2,86,8,9,0,1,0,2,13,3,6,3,5,13,0,0,0,0,0,1,0,1,0,13450411,2046,591,5,0,0,0,2
23,Acopiara,CE,53358,6966.0,"Administração, defesa, educação e saúde públicas e seguridade social",85042995,365,2,0,26,0,0,6,255,1,15,5,1,4,7,5,2,5,2,4,25,0,0,1,22,1,3,1,3,33077714,262320355,3158,11056,0,0,0,0,10
24,Acorizal,MT,5301,13363.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,57,2,2,5,0,0,5,28,1,3,0,0,0,2,2,3,0,0,0,4,0,0,1,18,0,0,0,0,0,0,492,529,0,0,0,0,3
25,Acrelândia,AC,14120,16120.0,"Administração, defesa, educação e saúde públicas e seguridade social",22507579,107,2,0,15,0,0,0,56,1,5,1,0,0,1,1,3,8,6,0,8,0,0,1,27,0,1,0,1,0,86310524,1223,3343,0,0,0,0,1
26,Acreúna,GO,21905,28049.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",46887656,318,19,0,25,0,0,4,160,23,15,3,0,3,9,10,6,16,8,3,14,0,0,0,0,2,1,2,1,81831560,98509641,4892,3461,3,0,0,0,1
27,Adamantina,SP,35094,32839.0,Demais serviços,115703288,1726,272,0,102,0,4,35,663,102,99,41,21,28,75,79,2,32,65,20,86,0,0,0,0,3,2,3,2,526179392,823567347,14851,6481,4,0,0,0,1
28,Adelândia,GO,2561,12481.0,"Administração, defesa, educação e saúde públicas e seguridade social",11102682,57,1,0,10,0,0,1,30,3,0,0,0,0,1,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,584,393,0,0,0,0,1
29,Adolfo,SP,3616,23912.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",0,81,10,2,3,0,0,2,33,5,4,0,0,0,2,2,2,3,1,3,9,0,0,0,0,1,0,1,0,32631770,0,1394,401,0,0,0,0,1
30,Adrianópolis,PR,6293,37991.0,Indústrias de transformação,27071690,145,3,3,3,0,0,8,74,18,13,1,1,0,1,3,3,2,2,0,10,0,0,0,0,1,0,1,0,20476881,0,1437,925,0,0,0,0,3
31,Adustina,BA,17254,5881.0,"Administração, defesa, educação e saúde públicas e seguridade social",29542520,92,0,0,2,0,0,0,67,0,0,2,0,0,4,2,2,2,0,0,11,0,0,0,0,0,0,0,0,0,0,262,1185,0,0,0,0,1
32,Afogados Da Ingazeira,PE,36866,10461.0,"Administração, defesa, educação e saúde públicas e seguridade social",68786461,527,1,0,27,0,2,13,305,3,24,15,5,2,11,15,9,15,19,9,52,0,0,0,0,1,2,1,2,95355383,251149663,5737,10461,0,0,0,0,1
33,Afonso Bezerra,RN,11207,7565.0,"Administração, defesa, educação e saúde públicas e seguridade social",29729803,72,1,0,3,0,0,3,49,0,2,1,0,0,1,4,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,655,838,0,0,0,0,1
34,Afonso Cláudio,ES,32407,14579.0,Demais serviços,69220539,555,4,12,37,0,1,21,285,9,30,5,4,0,20,12,3,27,20,8,57,0,0,0,0,0,3,0,3,0,324101608,8131,7984,4,0,0,0,6
35,Afonso Cunha,MA,6421,5522.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,14,1,0,0,0,0,0,6,0,0,0,0,1,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,61,519,0,0,0,0,1
36,Afrânio,PE,19225,7820.0,"Administração, defesa, educação e saúde públicas e seguridade social",44498864,141,0,0,11,0,0,2,84,1,6,2,0,0,3,1,3,22,1,1,4,0,0,0,0,0,1,0,1,0,44765064,809,3677,0,0,0,0,4
37,Afuá,PA,37778,8364.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,36,0,0,4,0,0,1,20,2,1,0,0,0,1,1,2,0,0,0,4,0,0,0,0,0,2,0,2,0,50400651,2,4,0,0,0,0,1
38,Agrestina,PE,24454,9025.0,"Administração, defesa, educação e saúde públicas e seguridade social",48941210,225,5,2,23,0,2,4,100,3,13,3,0,1,5,5,6,18,9,2,24,0,0,1,8,0,1,0,1,0,33677594,2825,2929,0,0,0,0,3
39,Agricolândia,PI,5069,5824.0,"Administração, defesa, educação e saúde públicas e seguridade social",12532965,39,0,0,1,0,0,3,22,0,0,0,0,0,0,0,2,1,1,0,9,0,0,0,0,0,0,0,0,0,0,282,1185,0,0,0,0,1
40,Agrolândia,SC,10427,21655.0,Demais serviços,0,490,3,0,151,1,0,15,147,19,22,1,2,9,10,20,2,14,8,12,54,0,0,0,0,1,1,1,1,40876891,58718873,4218,2146,5,0,0,0,1
41,Agronômica,SC,5371,25766.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",16270811,223,1,0,61,1,2,9,65,23,9,0,1,6,2,5,2,7,2,4,23,0,0,0,0,0,0,0,0,0,0,2135,903,2,0,0,0,1
42,Aguanil,MG,4406,14702.0,"Administração, defesa, educação e saúde públicas e seguridade social",13891248,91,2,0,16,0,0,0,48,7,4,0,0,1,4,3,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1065,296,0,0,0,0,2
43,Aguaí,SP,35189,21720.0,Demais serviços,0,799,149,9,54,0,3,21,333,44,51,8,2,5,21,35,2,12,21,10,19,0,0,0,0,3,2,3,2,235543694,198861114,11167,5754,3,0,0,0,1
44,Agudo,RS,17102,24772.0,Demais serviços,42334740,485,0,0,49,1,0,11,180,76,19,4,4,10,16,12,3,19,16,12,53,0,0,0,0,0,3,0,3,0,282009388,5888,2075,14,0,0,0,1
45,Agudos,SP,36704,69829.0,Indústrias de transformação,142168689,840,46,0,91,0,3,38,365,50,64,3,5,4,33,36,2,23,27,15,35,0,0,0,0,3,2,3,2,199136608,324995492,12644,4808,9,0,0,0,2
46,Agudos Do Sul,PR,9073,18513.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",17241225,148,0,1,11,0,1,7,80,15,8,0,0,0,2,7,2,1,8,1,4,0,0,0,0,1,0,1,0,32280166,0,3042,1182,0,0,0,0,2
47,Aguiar,PB,5567,7966.0,"Administração, defesa, educação e saúde públicas e seguridade social",17161264,28,0,0,1,0,1,2,12,1,2,0,0,0,0,0,2,2,1,0,4,0,0,0,0,0,0,0,0,0,0,272,721,0,0,0,0,1
48,Aguiarnópolis,TO,6307,21345.0,"Administração, defesa, educação e saúde públicas e seguridade social",16061415,42,3,2,2,0,0,5,13,3,5,0,0,0,0,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,472,1156,0,0,0,0,1
49,Aimorés,MG,25703,15959.0,Demais serviços,45443312,490,4,8,32,0,1,15,215,29,31,3,0,4,23,13,2,30,25,8,47,0,0,0,0,1,2,1,2,28036081,395574331,3769,4838,1,0,0,0,9
50,Aiquara,BA,4745,10499.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,34,2,0,0,0,0,2,22,0,0,0,0,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,172,260,0,0,0,0,1
51,Aiuaba,CE,17098,5947.0,"Administração, defesa, educação e saúde públicas e seguridade social",31669431,94,4,0,3,0,0,1,67,0,1,0,0,0,3,1,2,2,2,0,8,0,0,0,0,0,1,0,1,0,12641618,423,2253,0,0,0,0,2
52,Aiuruoca,MG,6224,15846.0,Demais serviços,13778976,112,3,1,13,0,0,0,45,9,14,2,1,0,3,1,2,0,5,4,9,0,0,0,0,1,0,1,0,129835678,0,1585,914,0,0,0,0,1
53,Ajuricaba,RS,7372,35749.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",0,295,4,0,27,0,0,4,128,26,9,5,1,1,10,2,2,9,9,17,41,0,0,0,0,0,2,0,2,0,218950156,3072,872,0,0,0,0,1
54,Alagoa,MG,2756,11406.0,"Administração, defesa, educação e saúde públicas e seguridade social",11323018,35,2,0,4,0,0,0,19,3,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,479,332,0,0,0,0,1
55,Alagoa Grande,PB,28604,8378.0,"Administração, defesa, educação e saúde públicas e seguridade social",45438117,238,0,1,19,0,0,6,112,4,5,3,0,6,5,5,3,22,3,1,43,0,0,0,0,1,2,1,2,17358627,228876178,1788,3396,0,0,0,0,3
56,Alagoa Nova,PB,20596,12180.0,"Administração, defesa, educação e saúde públicas e seguridade social",39834146,121,4,0,14,0,0,1,79,1,1,1,0,1,2,2,3,3,2,1,6,0,0,0,0,0,1,0,1,0,53703174,1647,1917,0,0,0,0,1
57,Alagoinha,PE,14431,8244.0,"Administração, defesa, educação e saúde públicas e seguridade social",31782188,61,0,0,5,0,0,0,43,1,0,0,0,0,3,1,4,2,0,0,2,0,0,0,0,0,1,0,1,0,25113414,1210,1153,0,0,0,0,1
58,Alagoinha,PB,14376,6926.0,"Administração, defesa, educação e saúde públicas e seguridade social",29417339,108,1,0,10,1,0,3,54,1,0,0,0,0,1,2,2,14,1,2,16,0,0,0,0,0,0,0,0,0,0,936,1703,0,0,0,0,1
59,Alagoinha Do Piauí,PI,7515,6099.0,"Administração, defesa, educação e saúde públicas e seguridade social",13740823,53,0,0,0,0,0,0,30,0,0,0,0,0,1,1,4,5,3,0,9,0,0,0,0,0,0,0,0,0,0,485,639,0,0,0,0,1
60,Alagoinhas,BA,155362,20453.0,Demais serviços,290162506,2231,23,5,118,0,6,63,1006,72,121,33,11,14,68,142,3,169,144,30,203,0,0,1,120,5,5,3,3,562260923,2141509149,24457,21546,3,0,0,0,3
61,Alambari,SP,5658,15427.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,137,61,0,14,0,0,4,31,3,8,2,0,3,0,2,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1260,696,3,0,0,0,1
62,Albertina,MG,3040,25796.0,Comércio e reparação de veículos automotores e motocicletas,11479747,72,1,0,13,0,0,4,30,1,5,0,0,0,3,1,2,4,0,3,5,0,0,0,0,0,0,0,0,0,0,947,379,0,0,0,0,1
63,Alcantil,PB,5475,7115.0,"Administração, defesa, educação e saúde públicas e seguridade social",13445071,37,1,0,5,0,0,0,16,1,0,1,0,0,0,1,2,6,1,0,3,0,0,0,0,0,0,0,0,0,0,297,274,0,0,0,0,1
64,Alcinópolis,MS,5114,30703.0,"Pecuária, inclusive apoio à pecuária",30320410,60,7,0,2,0,2,1,28,3,4,0,1,0,3,1,2,1,3,0,2,0,0,2,59,0,0,0,0,0,0,847,1044,1,0,0,0,1
65,Alcobaça,BA,23331,11150.0,"Administração, defesa, educação e saúde públicas e seguridade social",48798422,176,7,0,6,0,0,4,98,8,22,0,0,0,3,4,2,4,0,2,16,0,0,0,0,0,2,0,2,0,258294772,1342,2032,0,0,0,0,2
66,Alcântara,MA,21667,5423.0,"Administração, defesa, educação e saúde públicas e seguridade social",46725620,124,3,0,3,0,0,8,32,3,4,0,0,0,0,4,2,3,2,2,58,0,0,1,25,1,0,1,0,18171127,0,327,1282,0,0,0,0,1
67,Alcântaras,CE,11391,5231.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,82,0,0,3,0,0,2,45,2,1,0,0,1,0,5,2,2,0,1,18,0,0,0,0,0,0,0,0,0,0,668,2963,0,0,0,0,2
68,Aldeias Altas,MA,26115,6481.0,"Administração, defesa, educação e saúde públicas e seguridade social",57710610,91,1,0,2,0,0,0,35,1,1,0,0,0,0,1,2,36,0,0,12,0,0,0,0,0,0,0,0,0,0,327,2271,0,0,0,0,0
69,Alecrim,RS,6799,14881.0,"Administração, defesa, educação e saúde públicas e seguridade social",17492090,138,1,0,9,0,0,0,73,5,6,0,1,3,3,3,2,9,5,8,10,0,0,0,0,0,1,0,1,0,45506761,2332,1076,1,0,0,0,1
70,Alegre,ES,32175,15145.0,Demais serviços,75746241,754,3,9,36,0,1,19,358,16,66,7,3,1,34,36,4,38,29,18,76,0,0,1,27,1,3,1,3,39670421,372251110,6761,4542,1,0,0,0,0
71,Alegrete,RS,78244,23689.0,Demais serviços,176442536,1862,22,3,76,2,3,70,980,71,113,28,7,17,60,143,6,77,45,34,105,0,0,2,154,3,4,3,3,373979154,1489638304,21837,8230,23,0,0,1,2
72,Alegrete Do Piauí,PI,4835,7036.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,41,0,0,1,0,1,0,27,0,0,0,0,0,0,2,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,175,296,0,0,0,0,1
73,Alegria,RS,4085,26144.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",14802900,86,0,0,8,0,2,0,40,9,4,0,0,0,5,1,7,1,4,1,4,0,0,0,0,0,1,0,1,0,25807023,1224,650,0,0,0,0,2
74,Alenquer,PA,54960,11999.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",0,245,3,1,14,0,0,5,179,6,2,1,1,0,2,4,3,3,7,1,13,0,0,0,0,1,3,1,3,11084681,232943586,984,7671,0,0,0,0,1
75,Alexandria,RN,13839,8582.0,"Administração, defesa, educação e saúde públicas e seguridade social",40064068,208,2,0,4,0,1,3,129,5,7,0,0,0,4,6,3,8,10,5,21,0,0,0,0,0,1,0,1,0,74602302,1805,2661,0,0,0,0,1
76,Alexânia,GO,26457,52952.0,Comércio e reparação de veículos automotores e motocicletas,59707413,501,11,0,49,0,2,17,246,24,41,7,2,7,12,22,5,16,13,5,22,0,0,1,8,1,3,1,3,49359519,251907758,6673,3027,3,0,0,0,2
77,Alfenas,MG,79222,28965.0,Demais serviços,189730328,2456,19,4,191,0,7,109,1116,67,182,46,28,32,98,127,4,70,219,28,109,0,0,1,140,5,3,4,2,1094209443,1528709329,27210,10138,0,0,0,0,5
78,Alfredo Chaves,ES,15029,23296.0,Demais serviços,0,831,2,3,38,0,2,32,339,40,22,28,20,20,141,58,3,26,25,5,27,0,0,0,0,0,3,0,3,0,179767662,3847,3216,12,0,0,0,7
79,Alfredo Marcondes,SP,4118,18075.0,Demais serviços,0,107,31,0,9,0,0,3,37,3,3,0,3,1,4,6,2,0,0,0,5,0,0,0,0,0,1,0,1,0,35239550,1449,429,0,0,0,0,1
80,Alfredo Vasconcelos,MG,6709,13896.0,"Administração, defesa, educação e saúde públicas e seguridade social",12692164,130,4,0,12,0,0,3,49,18,4,0,0,1,3,7,4,5,6,3,11,0,0,0,0,0,0,0,0,0,0,1468,895,1,0,0,0,2
81,Alfredo Wagner,SC,9905,27437.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",0,354,9,2,28,0,0,6,186,14,35,2,4,0,9,7,1,21,5,3,22,0,0,2,83,0,1,0,1,0,99122118,3283,2426,5,0,0,0,1
82,Algodão De Jandaíra,PB,2488,9306.0,"Administração, defesa, educação e saúde públicas e seguridade social",12540881,18,0,0,1,0,0,0,3,0,0,0,0,0,0,1,2,1,0,0,10,0,0,0,0,0,0,0,0,0,0,198,104,0,0,0,0,1
83,Alhandra,PB,19412,44509.0,Comércio e reparação de veículos automotores e motocicletas,0,173,4,0,16,0,1,12,98,4,6,1,0,3,3,4,4,3,1,1,12,0,0,0,0,0,1,0,1,0,70442051,1866,2641,0,0,0,0,2
84,Aliança,PE,38261,8367.0,"Administração, defesa, educação e saúde públicas e seguridade social",61904662,295,13,1,17,0,0,1,180,19,9,1,0,0,11,6,3,5,4,6,19,0,0,1,48,0,1,0,1,0,64507540,3150,3110,0,0,0,0,7
85,Aliança Do Tocantins,TO,5565,16945.0,"Administração, defesa, educação e saúde públicas e seguridade social",14127100,78,4,1,2,0,0,3,43,5,2,0,0,0,2,1,2,2,1,1,9,0,0,0,0,0,1,0,1,0,57763321,623,897,0,0,0,0,1
86,Almadina,BA,6062,9144.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,45,0,0,2,0,0,1,32,0,2,0,0,0,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,341,224,0,0,0,0,1
87,Almas,TO,7340,17093.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,73,5,2,5,0,0,2,41,1,5,0,0,0,3,2,2,1,1,0,3,0,0,1,70,0,0,0,0,0,0,469,866,1,0,0,0,1
88,Almeirim,PA,33282,17707.0,"Administração, defesa, educação e saúde públicas e seguridade social",88490748,309,12,0,11,0,0,4,190,17,14,3,0,0,5,6,2,31,7,1,6,0,0,0,0,1,3,1,2,75167787,132714271,1098,1838,5,0,0,0,2
89,Almenara,MG,41552,11420.0,Demais serviços,60421401,768,3,8,38,0,1,26,411,23,46,10,5,6,26,28,4,26,16,10,81,0,0,1,10,2,3,2,3,86814675,621276806,4937,6703,0,0,0,0,2
90,Almino Afonso,RN,4876,6975.0,"Administração, defesa, educação e saúde públicas e seguridade social",13032035,38,0,1,1,0,0,2,21,3,0,0,0,0,1,1,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,363,927,0,0,0,0,1
91,Almirante Tamandaré,PR,114129,12234.0,Demais serviços,129135424,1971,7,23,344,0,7,204,796,90,114,25,14,15,45,91,3,58,26,14,95,0,0,0,0,2,2,2,2,104170968,624805512,36568,11082,12,0,0,0,3
92,Almirante Tamandaré Do Sul,RS,2085,66107.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",13042456,74,2,0,6,0,2,2,24,8,4,1,0,0,1,1,2,5,1,2,13,0,0,0,0,0,0,0,0,0,0,803,273,2,0,0,0,1
93,Aloândia,GO,2075,18673.0,"Administração, defesa, educação e saúde públicas e seguridade social",9391512,40,0,2,5,0,0,1,18,2,1,0,0,0,2,1,5,1,0,0,2,0,0,0,0,1,0,1,0,25035026,0,473,454,0,0,0,0,1
94,Alpercata,MG,7497,10219.0,"Administração, defesa, educação e saúde públicas e seguridade social",16616047,94,2,1,13,0,0,9,36,7,3,0,0,1,4,3,3,8,1,0,3,0,0,0,0,0,0,0,0,0,0,823,726,0,0,0,0,2
95,Alpestre,RS,7533,59940.0,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",31608704,187,0,0,14,0,0,3,67,31,8,3,0,0,3,3,4,6,8,17,20,0,0,0,0,0,1,0,1,0,57138323,2231,1137,0,0,0,0,3
96,Alpinópolis,MG,19741,17599.0,Demais serviços,34302000,495,1,13,55,0,1,26,194,54,20,10,1,10,27,8,6,17,18,5,29,0,0,0,0,2,2,2,2,56622524,296820017,7244,2306,1,0,0,0,1
97,Alta Floresta,MT,50082,31624.0,Demais serviços,0,1505,48,6,149,1,3,60,700,63,84,25,7,16,88,68,4,56,47,13,67,0,0,3,95,3,2,3,2,291375047,948266566,11556,24680,1,0,0,0,2
98,Alta Floresta D'Oeste,RO,25506,18732.0,"Administração, defesa, educação e saúde públicas e seguridade social",50218466,508,3,1,38,7,4,26,270,23,20,8,1,3,12,10,4,21,13,6,38,0,0,0,0,1,2,1,2,38958866,245288714,2464,9268,1,0,0,0,1
99,Altair,SP,4085,48984.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",18582016,124,46,0,3,0,0,1,23,8,8,0,0,0,1,5,3,3,6,0,17,0,0,0,0,1,0,1,0,20018255,0,1040,189,1,0,0,0,2
100,Altamira,PA,109938,22492.0,Demais serviços,0,1768,10,13,130,1,3,100,935,46,103,18,5,14,67,85,5,74,79,13,67,0,0,1,41,5,6,3,4,471557677,2225758383,11102,41071,1,0,0,0,3
101,Altamira Do Maranhão,MA,10210,6091.0,"Administração, defesa, educação e saúde públicas e seguridade social",21254157,22,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,196,1008,0,0,0,0,1
102,Altamira Do Paraná,PR,3143,22829.0,"Pecuária, inclusive apoio à pecuária",17743322,52,0,0,4,0,0,1,31,2,3,0,0,0,3,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,921,578,0,0,0,0,1
103,Altaneira,CE,7413,6099.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,31,0,1,1,0,1,0,20,0,0,0,0,0,1,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,361,1142,0,0,0,0,2
104,Alterosa,MG,14494,14679.0,Demais serviços,27510460,290,2,1,31,0,0,9,133,15,13,5,1,3,11,7,2,8,18,6,25,0,0,0,0,1,1,1,1,39578096,48777505,4388,2691,2,0,0,0,2
105,Altinho,PE,22886,6110.0,"Administração, defesa, educação e saúde públicas e seguridade social",36724408,199,2,1,15,0,0,3,68,2,1,4,1,1,5,3,5,26,4,7,51,0,0,0,0,0,1,0,1,0,37310212,1536,2138,0,0,0,0,2
106,Altinópolis,SP,16199,28541.0,Demais serviços,55755271,691,148,1,10,0,1,25,265,64,54,7,2,3,20,23,3,13,11,5,36,0,0,0,0,3,3,2,2,207939181,353716264,6215,914,0,0,0,0,1
107,Alto Alegre,SP,4164,24530.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",17790839,201,75,0,10,0,0,1,46,34,10,0,0,0,4,6,2,3,2,2,6,0,0,0,0,0,1,0,1,0,43232972,1321,464,0,0,0,0,3
108,Alto Alegre,RR,16053,15496.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,42,2,0,0,0,0,2,29,2,1,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,493,1226,0,0,0,0,1
109,Alto Alegre,RS,1815,36389.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",11148026,82,3,1,12,0,0,1,37,1,2,0,0,0,1,0,3,5,1,1,14,0,0,0,0,0,0,0,0,0,0,711,207,3,0,0,0,1
110,Alto Alegre Do Maranhão,MA,26619,8153.0,"Administração, defesa, educação e saúde públicas e seguridade social",43906688,99,1,0,3,0,0,4,54,1,3,0,1,0,0,0,2,19,1,1,9,0,0,0,0,0,0,0,0,0,0,642,3051,0,0,0,0,1
111,Alto Alegre Do Pindaré,MA,31303,5611.0,"Administração, defesa, educação e saúde públicas e seguridade social",20953227,46,1,0,0,0,0,1,22,0,5,0,0,0,3,2,1,2,3,1,5,0,0,0,0,1,0,1,0,26403988,0,420,2614,0,0,0,0,1
